employee_id,group_name
EMP0001,FinanceUsers
EMP0002,FinanceUsers
EMP0003,RiskTeam
EMP0004,DataReaders
EMP0005,DevOps
EMP0006,FinanceUsers
EMP0006,SecurityAdmins
EMP0006,CloudOps
EMP0007,FinanceUsers
EMP0008,DataReaders
EMP0009,FinanceUsers
EMP0010,RiskTeam
EMP0011,DataReaders
EMP0012,RiskTeam
EMP0013,RiskTeam
EMP0014,DevOps
EMP0014,SecurityAdmins
EMP0015,FinanceUsers
EMP0016,FinanceUsers
EMP0017,FinanceUsers
EMP0018,DataReaders
EMP0019,DevOps
EMP0020,FinanceUsers
EMP0021,DataReaders
EMP0022,FinanceUsers
EMP0023,DataReaders
EMP0024,RiskTeam
EMP0024,SecurityAdmins
EMP0024,CloudOps
EMP0025,RiskTeam
EMP0026,RiskTeam
EMP0026,SecurityAdmins
EMP0027,RiskTeam
EMP0028,DevOps
EMP0029,DataReaders
EMP0030,RiskTeam
EMP0031,DataReaders
EMP0032,DevOps
EMP0032,SecurityAdmins
EMP0033,DevOps
EMP0034,DataReaders
EMP0034,SecurityAdmins
EMP0035,RiskTeam
EMP0036,FinanceUsers
EMP0036,SecurityAdmins
EMP0037,RiskTeam
EMP0038,DevOps
EMP0039,DataReaders
EMP0040,DevOps
EMP0041,DevOps
EMP0042,DevOps
EMP0042,SecurityAdmins
EMP0043,DevOps
EMP0044,FinanceUsers
EMP0045,RiskTeam
EMP0046,DataReaders
EMP0047,DataReaders
EMP0048,DevOps
EMP0049,FinanceUsers
EMP0050,DataReaders
EMP0051,RiskTeam
EMP0052,DevOps
EMP0053,DataReaders
EMP0054,DevOps
EMP0054,SecurityAdmins
EMP0054,CloudOps
EMP0055,FinanceUsers
EMP0056,DataReaders
EMP0056,SecurityAdmins
EMP0057,FinanceUsers
EMP0058,DataReaders
EMP0059,DataReaders
EMP0060,FinanceUsers
EMP0061,FinanceUsers
EMP0062,RiskTeam
EMP0063,DevOps
EMP0064,FinanceUsers
EMP0065,DevOps
EMP0066,FinanceUsers
EMP0066,CloudOps
EMP0067,RiskTeam
EMP0068,DataReaders
EMP0068,SecurityAdmins
EMP0069,DevOps
EMP0070,FinanceUsers
EMP0071,FinanceUsers
EMP0072,DataReaders
EMP0073,DataReaders
EMP0074,DevOps
EMP0075,RiskTeam
EMP0076,FinanceUsers
EMP0077,DevOps
EMP0078,DevOps
EMP0079,FinanceUsers
EMP0080,RiskTeam
EMP0080,SecurityAdmins
EMP0081,RiskTeam
EMP0081,CloudOps
EMP0082,RiskTeam
EMP0083,FinanceUsers
EMP0084,DevOps
EMP0084,SecurityAdmins
EMP0085,FinanceUsers
EMP0086,FinanceUsers
EMP0087,RiskTeam
EMP0088,DataReaders
EMP0088,SecurityAdmins
EMP0089,RiskTeam
EMP0090,RiskTeam
EMP0091,FinanceUsers
EMP0092,DataReaders
EMP0093,FinanceUsers
EMP0093,CloudOps
EMP0094,DataReaders
EMP0095,DevOps
EMP0096,RiskTeam
EMP0097,FinanceUsers
EMP0098,FinanceUsers
EMP0099,FinanceUsers
EMP0100,RiskTeam
EMP0101,FinanceUsers
EMP0102,RiskTeam
EMP0102,SecurityAdmins
EMP0103,DataReaders
EMP0104,FinanceUsers
EMP0105,RiskTeam
EMP0106,DevOps
EMP0107,FinanceUsers
EMP0108,FinanceUsers
EMP0109,FinanceUsers
EMP0110,DevOps
EMP0111,DataReaders
EMP0112,DataReaders
EMP0113,DataReaders
EMP0114,DevOps
EMP0115,RiskTeam
EMP0116,DataReaders
