token_id,employee_id,token_age_days
TOK00011,EMP0001,156
TOK00012,EMP0001,97
TOK00021,EMP0002,243
TOK00031,EMP0003,123
TOK00041,EMP0004,140
TOK00042,EMP0004,178
TOK00051,EMP0005,27
TOK00052,EMP0005,241
TOK00061,EMP0006,226
TOK00071,EMP0007,253
TOK00081,EMP0008,180
TOK00091,EMP0009,170
TOK00101,EMP0010,293
TOK00102,EMP0010,293
TOK00111,EMP0011,556
TOK00121,EMP0012,190
TOK00131,EMP0013,123
TOK00141,EMP0014,155
TOK00142,EMP0014,278
TOK00151,EMP0015,238
TOK00152,EMP0015,195
TOK00161,EMP0016,222
TOK00171,EMP0017,38
TOK00172,EMP0017,132
TOK00181,EMP0018,232
TOK00182,EMP0018,274
TOK00191,EMP0019,143
TOK00192,EMP0019,49
TOK00201,EMP0020,243
TOK00202,EMP0020,54
TOK00211,EMP0021,200
TOK00212,EMP0021,104
TOK00221,EMP0022,402
TOK00231,EMP0023,130
TOK00232,EMP0023,66
TOK00241,EMP0024,32
TOK00242,EMP0024,290
TOK00251,EMP0025,75
TOK00261,EMP0026,264
TOK00271,EMP0027,278
TOK00272,EMP0027,274
TOK00281,EMP0028,158
TOK00291,EMP0029,95
TOK00301,EMP0030,76
TOK00302,EMP0030,137
TOK00311,EMP0031,56
TOK00321,EMP0032,39
TOK00322,EMP0032,219
TOK00331,EMP0033,634
TOK00332,EMP0033,437
TOK00341,EMP0034,89
TOK00342,EMP0034,252
TOK00351,EMP0035,293
TOK00361,EMP0036,222
TOK00371,EMP0037,22
TOK00372,EMP0037,235
TOK00381,EMP0038,248
TOK00382,EMP0038,274
TOK00391,EMP0039,105
TOK00401,EMP0040,201
TOK00411,EMP0041,55
TOK00421,EMP0042,41
TOK00422,EMP0042,227
TOK00431,EMP0043,20
TOK00441,EMP0044,612
TOK00451,EMP0045,244
TOK00452,EMP0045,294
TOK00461,EMP0046,246
TOK00462,EMP0046,199
TOK00471,EMP0047,244
TOK00481,EMP0048,140
TOK00482,EMP0048,27
TOK00491,EMP0049,298
TOK00492,EMP0049,176
TOK00501,EMP0050,182
TOK00511,EMP0051,24
TOK00521,EMP0052,180
TOK00531,EMP0053,290
TOK00541,EMP0054,237
TOK00542,EMP0054,203
TOK00551,EMP0055,646
TOK00552,EMP0055,447
TOK00561,EMP0056,159
TOK00571,EMP0057,259
TOK00572,EMP0057,93
TOK00581,EMP0058,283
TOK00582,EMP0058,245
TOK00591,EMP0059,289
TOK00601,EMP0060,128
TOK00602,EMP0060,113
TOK00611,EMP0061,85
TOK00612,EMP0061,208
TOK00621,EMP0062,58
TOK00631,EMP0063,160
TOK00641,EMP0064,207
TOK00651,EMP0065,85
TOK00661,EMP0066,521
TOK00671,EMP0067,138
TOK00672,EMP0067,184
TOK00681,EMP0068,261
TOK00682,EMP0068,178
TOK00691,EMP0069,162
TOK00701,EMP0070,55
TOK00702,EMP0070,22
TOK00711,EMP0071,86
TOK00721,EMP0072,272
TOK00731,EMP0073,171
TOK00732,EMP0073,203
TOK00741,EMP0074,151
TOK00751,EMP0075,43
TOK00752,EMP0075,211
TOK00761,EMP0076,215
TOK00771,EMP0077,399
TOK00781,EMP0078,194
TOK00791,EMP0079,260
TOK00801,EMP0080,123
TOK00811,EMP0081,67
TOK00821,EMP0082,151
TOK00822,EMP0082,279
TOK00831,EMP0083,109
TOK00841,EMP0084,227
TOK00851,EMP0085,98
TOK00852,EMP0085,248
TOK00861,EMP0086,138
TOK00862,EMP0086,141
TOK00871,EMP0087,234
TOK00872,EMP0087,207
TOK00881,EMP0088,593
TOK00882,EMP0088,589
TOK00891,EMP0089,261
TOK00901,EMP0090,190
TOK00911,EMP0091,63
TOK00921,EMP0092,58
TOK00931,EMP0093,261
TOK00941,EMP0094,93
TOK00942,EMP0094,26
TOK00951,EMP0095,217
TOK00952,EMP0095,134
TOK00961,EMP0096,74
TOK00962,EMP0096,207
TOK00971,EMP0097,33
TOK00972,EMP0097,294
TOK00981,EMP0098,112
TOK00982,EMP0098,143
TOK00991,EMP0099,611
TOK00992,EMP0099,500
TOK01001,EMP0100,227
TOK01002,EMP0100,31
TOK01011,EMP0101,280
TOK01021,EMP0102,149
TOK01031,EMP0103,274
TOK01041,EMP0104,191
TOK01042,EMP0104,247
