event_id,employee_id,platform,event_type,timestamp
EV000001,EMP0001,AWS,DataExport,2026-05-22T09:23
EV000002,EMP0001,AD,S3Access,2026-05-22T22:58
EV000003,EMP0001,GitHub,TokenUse,2026-03-08T08:45
EV000004,EMP0001,AD,Login,2026-03-24T01:30
EV000005,EMP0001,Okta,S3Access,2026-03-15T16:18
EV000006,EMP0001,Salesforce,RepoAccess,2025-12-26T04:49
EV000007,EMP0001,AWS,Logout,2026-03-27T22:59
EV000008,EMP0001,Salesforce,RoleChange,2026-05-06T23:33
EV000009,EMP0001,AD,Logout,2026-02-22T12:17
EV000010,EMP0001,Okta,Logout,2026-04-22T21:44
EV000011,EMP0001,GitHub,Logout,2026-04-26T02:46
EV000012,EMP0001,Okta,TokenUse,2026-04-18T13:10
EV000013,EMP0001,Salesforce,S3Access,2026-02-27T21:52
EV000014,EMP0001,AWS,TicketUpdate,2026-03-22T12:26
EV000015,EMP0001,GitHub,DataExport,2026-05-06T20:45
EV000016,EMP0001,AD,TokenUse,2026-05-12T20:41
EV000017,EMP0001,AWS,RoleChange,2026-01-13T14:40
EV000018,EMP0001,AWS,DataExport,2026-03-26T19:27
EV000019,EMP0001,GitHub,Logout,2026-01-10T12:58
EV000020,EMP0001,AWS,S3Access,2026-02-10T14:43
EV000021,EMP0002,Okta,TokenUse,2026-04-07T19:15
EV000022,EMP0002,GitHub,TokenUse,2026-05-06T22:58
EV000023,EMP0002,Salesforce,Logout,2026-03-08T15:16
EV000024,EMP0002,GitHub,TokenUse,2026-01-05T12:12
EV000025,EMP0002,Salesforce,Logout,2026-05-21T13:05
EV000026,EMP0002,AWS,RoleChange,2026-04-30T07:11
EV000027,EMP0002,Salesforce,TokenUse,2026-03-17T13:45
EV000028,EMP0002,Okta,DataExport,2026-02-25T09:07
EV000029,EMP0002,GitHub,TokenUse,2026-03-22T12:12
EV000030,EMP0002,Okta,DataExport,2026-02-26T14:18
EV000031,EMP0002,AWS,Logout,2026-03-24T07:58
EV000032,EMP0002,AD,TokenUse,2026-05-13T17:07
EV000033,EMP0002,AWS,Login,2026-02-26T04:57
EV000034,EMP0002,AD,Logout,2026-01-12T21:26
EV000035,EMP0002,GitHub,Logout,2026-01-26T06:14
EV000036,EMP0002,Okta,Logout,2026-01-18T13:17
EV000037,EMP0002,GitHub,Logout,2026-05-31T08:23
EV000038,EMP0002,Salesforce,TicketUpdate,2026-03-01T20:29
EV000039,EMP0002,AD,S3Access,2026-02-02T12:52
EV000040,EMP0002,Salesforce,TicketUpdate,2026-03-03T07:48
EV000041,EMP0002,Salesforce,Logout,2026-03-01T07:48
EV000042,EMP0002,GitHub,Logout,2026-01-31T05:00
EV000043,EMP0002,AD,S3Access,2026-01-24T01:34
EV000044,EMP0002,AD,TokenUse,2026-01-13T09:43
EV000045,EMP0002,GitHub,TicketUpdate,2026-01-27T21:57
EV000046,EMP0002,Okta,RoleChange,2026-05-30T12:01
EV000047,EMP0003,AWS,S3Access,2026-03-24T20:47
EV000048,EMP0003,AWS,TokenUse,2026-02-03T18:13
EV000049,EMP0003,Okta,DataExport,2026-05-13T14:58
EV000050,EMP0003,Okta,TokenUse,2025-12-29T12:58
EV000051,EMP0003,Okta,S3Access,2026-05-04T01:59
EV000052,EMP0003,Salesforce,TokenUse,2026-03-15T17:16
EV000053,EMP0003,AWS,RoleChange,2026-05-11T09:51
EV000054,EMP0003,Salesforce,RoleChange,2026-04-27T03:29
EV000055,EMP0003,GitHub,Login,2026-04-17T19:11
EV000056,EMP0003,GitHub,DataExport,2026-02-25T16:34
EV000057,EMP0003,AWS,TokenUse,2026-05-09T20:58
EV000058,EMP0003,Okta,TicketUpdate,2026-04-20T15:30
EV000059,EMP0003,AD,RepoAccess,2026-04-22T16:58
EV000060,EMP0003,Salesforce,S3Access,2026-04-04T16:33
EV000061,EMP0003,Okta,TicketUpdate,2026-02-05T15:15
EV000062,EMP0003,GitHub,RoleChange,2026-01-05T08:35
EV000063,EMP0003,Okta,S3Access,2026-04-28T23:35
EV000064,EMP0003,GitHub,DataExport,2026-03-31T09:52
EV000065,EMP0003,AWS,TokenUse,2026-04-29T10:09
EV000066,EMP0004,AWS,DataExport,2026-01-10T08:58
EV000067,EMP0004,AD,S3Access,2026-03-07T05:15
EV000068,EMP0004,AD,S3Access,2025-12-25T23:03
EV000069,EMP0004,Okta,Login,2026-02-13T07:02
EV000070,EMP0004,Salesforce,Login,2026-01-13T12:52
EV000071,EMP0004,Salesforce,DataExport,2026-03-20T05:58
EV000072,EMP0004,Salesforce,RoleChange,2026-01-06T08:14
EV000073,EMP0004,AD,TokenUse,2026-04-14T09:52
EV000074,EMP0004,GitHub,RoleChange,2026-03-21T08:31
EV000075,EMP0004,Okta,TicketUpdate,2026-05-20T19:02
EV000076,EMP0004,GitHub,TokenUse,2026-02-21T05:51
EV000077,EMP0004,Salesforce,RepoAccess,2026-02-28T21:14
EV000078,EMP0004,Okta,RoleChange,2025-12-26T07:11
EV000079,EMP0004,AD,RoleChange,2025-12-25T01:41
EV000080,EMP0004,Okta,Login,2026-01-18T12:30
EV000081,EMP0004,Okta,TicketUpdate,2026-04-22T02:52
EV000082,EMP0004,Salesforce,TokenUse,2025-12-23T22:57
EV000083,EMP0004,GitHub,TokenUse,2026-01-23T21:46
EV000084,EMP0004,Okta,Logout,2026-05-23T07:04
EV000085,EMP0004,GitHub,Logout,2026-03-14T19:29
EV000086,EMP0004,GitHub,S3Access,2026-01-16T13:02
EV000087,EMP0004,Salesforce,RoleChange,2026-02-08T06:51
EV000088,EMP0004,Salesforce,TicketUpdate,2026-02-27T21:36
EV000089,EMP0004,Okta,DataExport,2026-03-08T13:09
EV000090,EMP0004,Salesforce,TicketUpdate,2026-05-29T18:32
EV000091,EMP0004,AWS,TicketUpdate,2026-03-01T10:26
EV000092,EMP0004,AWS,RepoAccess,2026-03-12T23:52
EV000093,EMP0004,Salesforce,TicketUpdate,2025-12-24T14:50
EV000094,EMP0005,AD,Login,2026-01-27T03:01
EV000095,EMP0005,AD,RepoAccess,2026-05-04T12:27
EV000096,EMP0005,AWS,Logout,2026-02-24T18:52
EV000097,EMP0005,Okta,RepoAccess,2026-02-27T14:48
EV000098,EMP0005,AD,TokenUse,2026-04-15T12:22
EV000099,EMP0005,Okta,Login,2026-03-20T00:52
EV000100,EMP0005,Salesforce,TicketUpdate,2026-06-01T01:55
EV000101,EMP0005,AWS,S3Access,2026-04-27T21:30
EV000102,EMP0005,AWS,TicketUpdate,2026-03-17T14:39
EV000103,EMP0005,AD,TokenUse,2026-04-26T21:25
EV000104,EMP0005,Salesforce,RepoAccess,2026-03-18T13:47
EV000105,EMP0005,AD,Login,2026-03-08T04:27
EV000106,EMP0005,Okta,TicketUpdate,2026-04-12T03:36
EV000107,EMP0005,Okta,Login,2026-04-13T03:28
EV000108,EMP0005,GitHub,TokenUse,2026-03-09T07:11
EV000109,EMP0005,Salesforce,Login,2026-05-21T20:00
EV000110,EMP0005,AWS,DataExport,2026-03-23T17:47
EV000111,EMP0005,AWS,S3Access,2026-05-31T18:10
EV000112,EMP0006,Salesforce,RepoAccess,2026-03-07T03:21
EV000113,EMP0006,AD,S3Access,2026-03-13T13:34
EV000114,EMP0006,AWS,RoleChange,2026-05-24T04:27
EV000115,EMP0006,Okta,S3Access,2026-05-04T14:14
EV000116,EMP0006,GitHub,DataExport,2026-03-10T23:56
EV000117,EMP0006,Salesforce,RepoAccess,2026-04-03T20:02
EV000118,EMP0006,AWS,TokenUse,2026-04-11T14:40
EV000119,EMP0006,AWS,TicketUpdate,2026-04-03T23:00
EV000120,EMP0006,AD,TokenUse,2026-02-01T18:26
EV000121,EMP0006,Salesforce,RoleChange,2026-01-13T07:33
EV000122,EMP0006,Salesforce,RoleChange,2026-02-06T03:06
EV000123,EMP0006,GitHub,S3Access,2026-05-25T08:17
EV000124,EMP0006,Salesforce,TokenUse,2026-04-10T15:20
EV000125,EMP0006,Okta,TicketUpdate,2026-05-14T21:28
EV000126,EMP0006,AD,TokenUse,2026-02-14T19:42
EV000127,EMP0006,AD,S3Access,2026-04-08T21:33
EV000128,EMP0006,Salesforce,TicketUpdate,2026-01-26T00:31
EV000129,EMP0006,Okta,S3Access,2026-01-25T19:08
EV000130,EMP0006,Okta,TokenUse,2026-05-05T19:44
EV000131,EMP0006,GitHub,Logout,2026-01-04T09:43
EV000132,EMP0006,AD,S3Access,2026-01-18T05:03
EV000133,EMP0006,Okta,TokenUse,2026-05-08T03:16
EV000134,EMP0006,Salesforce,Logout,2026-02-03T08:17
EV000135,EMP0006,GitHub,DataExport,2026-03-06T01:08
EV000136,EMP0006,Okta,DataExport,2026-01-04T11:04
EV000137,EMP0006,AD,DataExport,2026-03-14T19:11
EV000138,EMP0006,GitHub,TokenUse,2026-01-27T01:51
EV000139,EMP0007,AWS,Login,2026-05-04T13:22
EV000140,EMP0007,Okta,DataExport,2026-04-14T04:45
EV000141,EMP0007,AD,Logout,2026-04-15T12:39
EV000142,EMP0007,GitHub,TicketUpdate,2026-02-14T12:58
EV000143,EMP0007,Salesforce,DataExport,2026-03-17T14:12
EV000144,EMP0007,GitHub,TokenUse,2026-03-22T14:49
EV000145,EMP0007,Okta,Logout,2025-12-27T13:47
EV000146,EMP0007,AD,RepoAccess,2026-04-04T03:14
EV000147,EMP0007,Salesforce,S3Access,2026-01-09T09:17
EV000148,EMP0007,Okta,RepoAccess,2026-05-10T23:37
EV000149,EMP0007,Salesforce,DataExport,2026-03-21T23:15
EV000150,EMP0007,Okta,RoleChange,2026-04-03T12:27
EV000151,EMP0007,AWS,DataExport,2026-01-26T12:39
EV000152,EMP0007,Salesforce,Login,2026-01-13T21:49
EV000153,EMP0007,Salesforce,DataExport,2026-02-27T01:33
EV000154,EMP0007,AD,S3Access,2026-05-21T03:56
EV000155,EMP0007,AWS,DataExport,2026-02-12T18:31
EV000156,EMP0007,AWS,DataExport,2026-01-06T11:04
EV000157,EMP0007,GitHub,TokenUse,2026-01-01T08:52
EV000158,EMP0007,Okta,RoleChange,2026-04-28T08:52
EV000159,EMP0007,Salesforce,S3Access,2026-01-07T21:43
EV000160,EMP0007,AWS,S3Access,2026-04-06T03:18
EV000161,EMP0007,AWS,TokenUse,2026-02-12T15:47
EV000162,EMP0007,AWS,TicketUpdate,2026-01-20T04:57
EV000163,EMP0007,GitHub,RepoAccess,2026-05-11T13:27
EV000164,EMP0007,AWS,TicketUpdate,2026-05-05T06:36
EV000165,EMP0007,AWS,S3Access,2025-12-28T03:41
EV000166,EMP0008,Salesforce,RepoAccess,2026-01-22T07:25
EV000167,EMP0008,Okta,S3Access,2026-02-03T00:57
EV000168,EMP0008,GitHub,S3Access,2026-01-06T15:02
EV000169,EMP0008,Okta,Login,2026-03-18T06:20
EV000170,EMP0008,AD,Logout,2026-05-19T22:25
EV000171,EMP0008,Okta,TicketUpdate,2026-05-13T19:12
EV000172,EMP0008,GitHub,TokenUse,2026-05-01T19:46
EV000173,EMP0008,GitHub,TicketUpdate,2026-01-08T12:08
EV000174,EMP0008,AWS,DataExport,2026-01-28T00:33
EV000175,EMP0008,Okta,RepoAccess,2026-04-11T11:52
EV000176,EMP0008,AWS,RepoAccess,2026-02-15T16:09
EV000177,EMP0008,GitHub,Logout,2026-05-18T20:29
EV000178,EMP0008,AD,TicketUpdate,2026-02-19T20:28
EV000179,EMP0008,Okta,TokenUse,2026-01-28T05:22
EV000180,EMP0008,Salesforce,RepoAccess,2026-02-19T00:51
EV000181,EMP0008,AD,RoleChange,2025-12-31T10:00
EV000182,EMP0008,Salesforce,DataExport,2026-01-13T21:15
EV000183,EMP0008,AD,S3Access,2026-03-31T04:54
EV000184,EMP0008,GitHub,TicketUpdate,2026-01-12T06:40
EV000185,EMP0008,GitHub,RoleChange,2025-12-23T20:01
EV000186,EMP0008,AD,TokenUse,2026-05-17T18:24
EV000187,EMP0008,AD,TicketUpdate,2025-12-25T07:23
EV000188,EMP0009,Okta,DataExport,2026-02-28T10:18
EV000189,EMP0009,Okta,Logout,2026-04-30T17:31
EV000190,EMP0009,GitHub,TokenUse,2026-01-14T17:31
EV000191,EMP0009,AD,DataExport,2026-05-19T18:07
EV000192,EMP0009,Salesforce,TokenUse,2026-05-02T17:14
EV000193,EMP0009,GitHub,DataExport,2025-12-28T08:12
EV000194,EMP0009,GitHub,S3Access,2026-03-20T21:40
EV000195,EMP0009,Salesforce,RoleChange,2026-05-06T09:30
EV000196,EMP0009,GitHub,TokenUse,2026-04-06T15:04
EV000197,EMP0009,GitHub,RepoAccess,2026-04-04T04:43
EV000198,EMP0009,AD,RoleChange,2026-01-26T11:40
EV000199,EMP0009,Okta,TicketUpdate,2026-01-12T10:05
EV000200,EMP0009,Salesforce,RepoAccess,2026-05-31T03:11
EV000201,EMP0009,Okta,S3Access,2026-05-17T07:48
EV000202,EMP0009,GitHub,S3Access,2026-05-16T22:50
EV000203,EMP0009,Salesforce,TokenUse,2025-12-31T23:38
EV000204,EMP0009,AD,Login,2026-01-04T06:59
EV000205,EMP0009,Salesforce,Logout,2026-05-17T23:09
EV000206,EMP0009,AD,RoleChange,2025-12-25T00:12
EV000207,EMP0009,AD,DataExport,2026-01-20T03:42
EV000208,EMP0009,Salesforce,RepoAccess,2026-02-28T05:05
EV000209,EMP0009,Okta,RoleChange,2026-04-27T17:48
EV000210,EMP0009,AWS,DataExport,2026-01-10T12:17
EV000211,EMP0009,AWS,Login,2025-12-27T10:41
EV000212,EMP0009,Salesforce,RoleChange,2026-03-24T22:18
EV000213,EMP0009,Salesforce,TicketUpdate,2025-12-29T17:57
EV000214,EMP0009,AD,S3Access,2026-02-05T20:23
EV000215,EMP0010,GitHub,TokenUse,2025-12-27T05:20
EV000216,EMP0010,GitHub,TicketUpdate,2026-02-24T09:42
EV000217,EMP0010,GitHub,RoleChange,2026-04-04T17:24
EV000218,EMP0010,AD,S3Access,2026-05-12T00:01
EV000219,EMP0010,Okta,RoleChange,2026-05-08T17:33
EV000220,EMP0010,Okta,Logout,2026-04-30T13:00
EV000221,EMP0010,AD,Login,2026-04-30T20:47
EV000222,EMP0010,AD,S3Access,2026-06-01T08:41
EV000223,EMP0010,GitHub,TokenUse,2026-04-17T11:18
EV000224,EMP0010,AD,S3Access,2026-04-11T16:43
EV000225,EMP0010,AD,Login,2026-02-18T05:51
EV000226,EMP0010,Salesforce,Logout,2026-05-27T00:39
EV000227,EMP0010,Salesforce,Logout,2026-02-19T13:48
EV000228,EMP0010,GitHub,S3Access,2026-04-20T23:15
EV000229,EMP0010,AD,DataExport,2026-02-16T09:30
EV000230,EMP0010,AD,TokenUse,2026-03-09T13:10
EV000231,EMP0010,Salesforce,RepoAccess,2026-04-10T06:43
EV000232,EMP0010,Okta,TokenUse,2026-04-15T12:33
EV000233,EMP0011,AD,S3Access,2026-04-21T03:32
EV000234,EMP0011,Salesforce,Login,2026-05-07T16:55
EV000235,EMP0011,AWS,S3Access,2026-02-07T06:10
EV000236,EMP0011,AWS,RepoAccess,2026-03-22T22:43
EV000237,EMP0011,AWS,TicketUpdate,2026-03-27T09:04
EV000238,EMP0011,Salesforce,TokenUse,2026-02-12T00:18
EV000239,EMP0011,Okta,TokenUse,2025-12-31T14:08
EV000240,EMP0011,Okta,DataExport,2025-12-25T18:01
EV000241,EMP0011,AD,DataExport,2026-04-20T10:52
EV000242,EMP0011,AD,RepoAccess,2026-04-15T06:15
EV000243,EMP0011,Salesforce,DataExport,2026-01-15T22:59
EV000244,EMP0011,Salesforce,TokenUse,2026-01-30T07:27
EV000245,EMP0011,Okta,TokenUse,2026-02-22T22:39
EV000246,EMP0011,AD,RepoAccess,2026-05-04T00:13
EV000247,EMP0011,Okta,Logout,2026-01-20T19:23
EV000248,EMP0011,AD,DataExport,2026-04-11T17:41
EV000249,EMP0011,GitHub,TicketUpdate,2026-05-31T01:46
EV000250,EMP0011,AWS,DataExport,2026-02-13T18:02
EV000251,EMP0011,Okta,TokenUse,2026-05-15T13:21
EV000252,EMP0011,GitHub,TicketUpdate,2026-01-05T12:06
EV000253,EMP0011,AWS,RepoAccess,2026-02-18T11:04
EV000254,EMP0011,Okta,TokenUse,2026-02-10T22:00
EV000255,EMP0011,Salesforce,TokenUse,2026-05-29T15:58
EV000256,EMP0011,Okta,DataExport,2026-03-28T14:13
EV000257,EMP0011,AWS,TicketUpdate,2026-04-30T22:55
EV000258,EMP0011,AWS,S3Access,2026-01-19T13:00
EV000259,EMP0012,AD,RepoAccess,2026-01-24T14:33
EV000260,EMP0012,AD,TokenUse,2026-03-06T19:21
EV000261,EMP0012,AD,TicketUpdate,2026-03-05T11:54
EV000262,EMP0012,Okta,S3Access,2026-01-26T03:43
EV000263,EMP0012,GitHub,TokenUse,2026-02-18T11:14
EV000264,EMP0012,AD,DataExport,2026-04-16T14:50
EV000265,EMP0012,GitHub,S3Access,2026-04-27T02:18
EV000266,EMP0012,AWS,S3Access,2026-05-26T11:43
EV000267,EMP0012,AWS,Logout,2026-03-23T18:23
EV000268,EMP0012,GitHub,Logout,2026-02-15T22:13
EV000269,EMP0012,Okta,RoleChange,2026-03-14T11:45
EV000270,EMP0012,GitHub,RoleChange,2026-04-11T17:11
EV000271,EMP0012,Okta,DataExport,2026-01-15T11:45
EV000272,EMP0012,AWS,RepoAccess,2026-03-04T12:13
EV000273,EMP0012,Okta,DataExport,2026-04-03T20:39
EV000274,EMP0012,AD,S3Access,2026-04-10T13:37
EV000275,EMP0012,AD,S3Access,2026-01-28T08:31
EV000276,EMP0012,AD,RoleChange,2026-02-16T16:26
EV000277,EMP0012,AWS,DataExport,2026-02-27T10:14
EV000278,EMP0012,GitHub,RoleChange,2026-05-13T22:55
EV000279,EMP0012,Okta,DataExport,2026-05-29T17:32
EV000280,EMP0012,Salesforce,RoleChange,2026-01-02T11:36
EV000281,EMP0012,Salesforce,DataExport,2025-12-30T18:22
EV000282,EMP0012,GitHub,TokenUse,2026-05-25T13:37
EV000283,EMP0013,AWS,Login,2026-03-04T09:50
EV000284,EMP0013,Salesforce,RepoAccess,2026-05-30T21:23
EV000285,EMP0013,GitHub,TicketUpdate,2026-02-26T09:17
EV000286,EMP0013,AD,S3Access,2026-05-05T18:33
EV000287,EMP0013,AWS,S3Access,2026-04-07T03:55
EV000288,EMP0013,AWS,TokenUse,2026-05-24T10:47
EV000289,EMP0013,Salesforce,Logout,2026-03-09T11:00
EV000290,EMP0013,GitHub,TokenUse,2026-02-13T20:20
EV000291,EMP0013,Okta,Login,2026-02-09T22:55
EV000292,EMP0013,AD,DataExport,2026-03-08T03:29
EV000293,EMP0013,GitHub,TokenUse,2026-03-04T20:11
EV000294,EMP0013,GitHub,TicketUpdate,2026-02-17T12:42
EV000295,EMP0013,GitHub,Logout,2026-05-12T04:48
EV000296,EMP0013,Okta,TokenUse,2026-03-29T22:53
EV000297,EMP0013,Okta,RoleChange,2026-03-13T06:19
EV000298,EMP0013,AD,TicketUpdate,2026-04-22T18:35
EV000299,EMP0013,AD,Logout,2026-03-29T05:33
EV000300,EMP0013,AD,S3Access,2026-01-04T05:27
EV000301,EMP0013,AD,TokenUse,2026-02-27T07:41
EV000302,EMP0013,GitHub,TicketUpdate,2026-02-17T11:36
EV000303,EMP0013,AD,Logout,2026-03-29T16:11
EV000304,EMP0013,AWS,S3Access,2026-05-29T18:12
EV000305,EMP0013,Salesforce,Logout,2026-02-03T01:47
EV000306,EMP0013,Okta,RoleChange,2026-04-02T17:52
EV000307,EMP0013,Okta,Login,2026-01-03T20:04
EV000308,EMP0013,Okta,Login,2026-04-18T10:38
EV000309,EMP0014,GitHub,TokenUse,2026-05-20T08:55
EV000310,EMP0014,Salesforce,TokenUse,2026-05-29T22:55
EV000311,EMP0014,AD,TokenUse,2026-03-08T08:29
EV000312,EMP0014,Okta,TokenUse,2026-01-16T14:24
EV000313,EMP0014,GitHub,S3Access,2026-02-11T00:40
EV000314,EMP0014,Okta,S3Access,2026-04-27T22:30
EV000315,EMP0014,Salesforce,Login,2026-05-16T14:23
EV000316,EMP0014,GitHub,DataExport,2026-04-11T06:32
EV000317,EMP0014,Salesforce,Logout,2026-05-19T18:27
EV000318,EMP0014,GitHub,TicketUpdate,2026-05-18T13:54
EV000319,EMP0014,AD,TokenUse,2026-05-17T14:35
EV000320,EMP0014,AWS,TokenUse,2025-12-27T23:07
EV000321,EMP0014,AD,Logout,2026-04-13T07:36
EV000322,EMP0014,Okta,S3Access,2026-02-12T06:29
