employee_id,platform,old_role,new_role,change_date
EMP0116,AWS,Developer,AdministratorAccess,2026-05-24
EMP0116,AWS,Developer,AdministratorAccess,2026-05-25
EMP0116,GitHub,Developer,OrgOwner,2026-05-26
EMP0116,GitHub,Developer,OrgOwner,2026-05-27
EMP0117,GitHub,Developer,OrgOwner,2026-05-24
EMP0117,AWS,Developer,AdministratorAccess,2026-05-25
EMP0117,GitHub,Developer,OrgOwner,2026-05-26
EMP0117,Okta,Developer,SuperAdmin,2026-05-27
EMP0118,Okta,Developer,SuperAdmin,2026-05-24
EMP0118,Okta,Developer,SuperAdmin,2026-05-25
EMP0118,GitHub,Developer,OrgOwner,2026-05-26
EMP0118,AWS,Developer,AdministratorAccess,2026-05-27
EMP0119,GitHub,Developer,OrgOwner,2026-05-24
EMP0119,Okta,Developer,SuperAdmin,2026-05-25
EMP0119,AWS,Developer,AdministratorAccess,2026-05-26
EMP0119,Okta,Developer,SuperAdmin,2026-05-27
EMP0120,AWS,Developer,AdministratorAccess,2026-05-24
EMP0120,Okta,Developer,SuperAdmin,2026-05-25
EMP0120,AWS,Developer,AdministratorAccess,2026-05-26
EMP0120,Okta,Developer,SuperAdmin,2026-05-27
EMP0121,GitHub,Developer,OrgOwner,2026-05-24
EMP0121,GitHub,Developer,OrgOwner,2026-05-25
EMP0121,GitHub,Developer,OrgOwner,2026-05-26
EMP0121,GitHub,Developer,OrgOwner,2026-05-27
EMP0122,Okta,Developer,SuperAdmin,2026-05-24
EMP0122,AWS,Developer,AdministratorAccess,2026-05-25
EMP0122,GitHub,Developer,OrgOwner,2026-05-26
EMP0122,GitHub,Developer,OrgOwner,2026-05-27
EMP0123,AWS,Developer,AdministratorAccess,2026-05-24
EMP0123,AWS,Developer,AdministratorAccess,2026-05-25
EMP0123,GitHub,Developer,OrgOwner,2026-05-26
EMP0123,GitHub,Developer,OrgOwner,2026-05-27
EMP0124,GitHub,Developer,OrgOwner,2026-05-24
EMP0124,GitHub,Developer,OrgOwner,2026-05-25
EMP0124,GitHub,Developer,OrgOwner,2026-05-26
EMP0124,AWS,Developer,AdministratorAccess,2026-05-27
EMP0125,GitHub,Developer,OrgOwner,2026-05-24
EMP0125,AWS,Developer,AdministratorAccess,2026-05-25
EMP0125,AWS,Developer,AdministratorAccess,2026-05-26
EMP0125,AWS,Developer,AdministratorAccess,2026-05-27
