employee_id,employee_name,department,employee_status,termination_date
EMP0001,Employee_1,Engineering,Terminated,2026-02-02
EMP0002,Employee_2,Security,Terminated,2026-02-03
EMP0003,Employee_3,Finance,Terminated,2026-02-04
EMP0004,Employee_4,Risk,Terminated,2026-02-05
EMP0005,Employee_5,Operations,Terminated,2026-02-06
EMP0006,Employee_6,HR,Terminated,2026-02-07
EMP0007,Employee_7,Data,Terminated,2026-02-08
EMP0008,Employee_8,Engineering,Terminated,2026-02-09
EMP0009,Employee_9,Security,Terminated,2026-02-10
EMP0010,Employee_10,Finance,Terminated,2026-02-11
EMP0011,Employee_11,Risk,Terminated,2026-02-12
EMP0012,Employee_12,Operations,Terminated,2026-02-13
EMP0013,Employee_13,HR,Terminated,2026-02-14
EMP0014,Employee_14,Data,Terminated,2026-02-15
EMP0015,Employee_15,Engineering,Terminated,2026-02-16
EMP0016,Employee_16,Security,Terminated,2026-02-17
EMP0017,Employee_17,Finance,Terminated,2026-02-18
EMP0018,Employee_18,Risk,Terminated,2026-02-19
EMP0019,Employee_19,Operations,Terminated,2026-02-20
EMP0020,Employee_20,HR,Terminated,2026-02-21
EMP0021,Employee_21,Data,Terminated,2026-02-22
EMP0022,Employee_22,Engineering,Terminated,2026-02-23
EMP0023,Employee_23,Security,Terminated,2026-02-24
EMP0024,Employee_24,Finance,Terminated,2026-02-25
EMP0025,Employee_25,Risk,Terminated,2026-02-26
EMP0026,Employee_26,Operations,Terminated,2026-02-27
EMP0027,Employee_27,HR,Terminated,2026-02-28
EMP0028,Employee_28,Data,Terminated,2026-03-01
EMP0029,Employee_29,Engineering,Terminated,2026-03-02
EMP0030,Employee_30,Security,Terminated,2026-03-03
EMP0031,Employee_31,Finance,Terminated,2026-03-04
EMP0032,Employee_32,Risk,Terminated,2026-03-05
EMP0033,Employee_33,Operations,Terminated,2026-03-06
EMP0034,Employee_34,HR,Terminated,2026-03-07
EMP0035,Employee_35,Data,Terminated,2026-03-08
EMP0036,Employee_36,Engineering,Terminated,2026-03-09
EMP0037,Employee_37,Security,Terminated,2026-03-10
EMP0038,Employee_38,Finance,Terminated,2026-03-11
EMP0039,Employee_39,Risk,Terminated,2026-03-12
EMP0040,Employee_40,Operations,Terminated,2026-03-13
EMP0041,Employee_41,HR,Terminated,2026-03-14
EMP0042,Employee_42,Data,Terminated,2026-03-15
EMP0043,Employee_43,Engineering,Terminated,2026-03-16
EMP0044,Employee_44,Security,Terminated,2026-03-17
EMP0045,Employee_45,Finance,Terminated,2026-03-18
EMP0046,Employee_46,Risk,Terminated,2026-03-19
EMP0047,Employee_47,Operations,Terminated,2026-03-20
EMP0048,Employee_48,HR,Terminated,2026-03-21
EMP0049,Employee_49,Data,Terminated,2026-03-22
EMP0050,Employee_50,Engineering,Terminated,2026-03-23
EMP0051,Employee_51,Security,Terminated,2026-03-24
EMP0052,Employee_52,Finance,Terminated,2026-03-25
EMP0053,Employee_53,Risk,Terminated,2026-03-26
EMP0054,Employee_54,Operations,Terminated,2026-03-27
EMP0055,Employee_55,HR,Terminated,2026-03-28
EMP0056,Employee_56,Data,Terminated,2026-03-29
EMP0057,Employee_57,Engineering,Terminated,2026-03-30
EMP0058,Employee_58,Security,Terminated,2026-03-31
EMP0059,Employee_59,Finance,Terminated,2026-04-01
EMP0060,Employee_60,Risk,Terminated,2026-04-02
EMP0061,Employee_61,Operations,Terminated,2026-04-03
EMP0062,Employee_62,HR,Terminated,2026-04-04
EMP0063,Employee_63,Data,Terminated,2026-04-05
EMP0064,Employee_64,Engineering,Terminated,2026-04-06
EMP0065,Employee_65,Security,Terminated,2026-04-07
EMP0066,Employee_66,Finance,Terminated,2026-04-08
EMP0067,Employee_67,Risk,Terminated,2026-04-09
EMP0068,Employee_68,Operations,Terminated,2026-04-10
EMP0069,Employee_69,HR,Terminated,2026-04-11
EMP0070,Employee_70,Data,Terminated,2026-04-12
EMP0071,Employee_71,Engineering,Terminated,2026-04-13
EMP0072,Employee_72,Security,Terminated,2026-04-14
EMP0073,Employee_73,Finance,Terminated,2026-04-15
EMP0074,Employee_74,Risk,Terminated,2026-04-16
EMP0075,Employee_75,Operations,Terminated,2026-04-17
EMP0076,Employee_76,HR,Active,
EMP0077,Employee_77,Data,Active,
EMP0078,Employee_78,Engineering,Active,
EMP0079,Employee_79,Security,Active,
EMP0080,Employee_80,Finance,Active,
EMP0081,Employee_81,Risk,Active,
EMP0082,Employee_82,Operations,Active,
EMP0083,Employee_83,HR,Active,
EMP0084,Employee_84,Data,Active,
EMP0085,Employee_85,Engineering,Active,
EMP0086,Employee_86,Security,Active,
EMP0087,Employee_87,Finance,Active,
EMP0088,Employee_88,Risk,Active,
EMP0089,Employee_89,Operations,Active,
EMP0090,Employee_90,HR,Active,
EMP0091,Employee_91,Data,Active,
EMP0092,Employee_92,Engineering,Active,
EMP0093,Employee_93,Security,Active,
EMP0094,Employee_94,Finance,Active,
EMP0095,Employee_95,Risk,Active,
EMP0096,Employee_96,Operations,Active,
EMP0097,Employee_97,HR,Active,
EMP0098,Employee_98,Data,Active,
EMP0099,Employee_99,Engineering,Active,
EMP0100,Employee_100,Security,Active,
EMP0101,Employee_101,Finance,Active,
EMP0102,Employee_102,Risk,Active,
EMP0103,Employee_103,Operations,Active,
EMP0104,Employee_104,HR,Active,
EMP0105,Employee_105,Data,Active,
EMP0106,Employee_106,Engineering,Active,
EMP0107,Employee_107,Security,Active,
EMP0108,Employee_108,Finance,Active,
EMP0109,Employee_109,Risk,Active,
EMP0110,Employee_110,Operations,Active,
EMP0111,Employee_111,HR,Active,
EMP0112,Employee_112,Data,Active,
EMP0113,Employee_113,Engineering,Active,
EMP0114,Employee_114,Security,Active,
EMP0115,Employee_115,Finance,Active,
EMP0116,Employee_116,Risk,Active,
EMP0117,Employee_117,Operations,Active,
EMP0118,Employee_118,HR,Active,
EMP0119,Employee_119,Data,Active,
EMP0120,Employee_120,Engineering,Active,
EMP0121,Employee_121,Security,Active,
EMP0122,Employee_122,Finance,Active,
EMP0123,Employee_123,Risk,Active,
EMP0124,Employee_124,Operations,Active,
EMP0125,Employee_125,HR,Active,
EMP0126,Employee_126,Data,Active,
EMP0127,Employee_127,Engineering,Active,
EMP0128,Employee_128,Security,Active,
EMP0129,Employee_129,Finance,Active,
EMP0130,Employee_130,Risk,Active,
EMP0131,Employee_131,Operations,Active,
EMP0132,Employee_132,HR,Active,
EMP0133,Employee_133,Data,Active,
EMP0134,Employee_134,Engineering,Active,
EMP0135,Employee_135,Security,Active,
EMP0136,Employee_136,Finance,Active,
EMP0137,Employee_137,Risk,Active,
EMP0138,Employee_138,Operations,Active,
EMP0139,Employee_139,HR,Active,
EMP0140,Employee_140,Data,Active,
EMP0141,Employee_141,Engineering,Active,
EMP0142,Employee_142,Security,Active,
EMP0143,Employee_143,Finance,Active,
EMP0144,Employee_144,Risk,Active,
EMP0145,Employee_145,Operations,Active,
EMP0146,Employee_146,HR,Active,
EMP0147,Employee_147,Data,Active,
EMP0148,Employee_148,Engineering,Active,
EMP0149,Employee_149,Security,Active,
EMP0150,Employee_150,Finance,Active,
EMP0151,Employee_151,Risk,Active,
EMP0152,Employee_152,Operations,Active,
EMP0153,Employee_153,HR,Active,
EMP0154,Employee_154,Data,Active,
EMP0155,Employee_155,Engineering,Active,
EMP0156,Employee_156,Security,Active,
EMP0157,Employee_157,Finance,Active,
EMP0158,Employee_158,Risk,Active,
EMP0159,Employee_159,Operations,Active,
EMP0160,Employee_160,HR,Active,
EMP0161,Employee_161,Data,Active,
EMP0162,Employee_162,Engineering,Active,
EMP0163,Employee_163,Security,Active,
EMP0164,Employee_164,Finance,Active,
EMP0165,Employee_165,Risk,Active,
EMP0166,Employee_166,Operations,Active,
EMP0167,Employee_167,HR,Active,
EMP0168,Employee_168,Data,Active,
EMP0169,Employee_169,Engineering,Active,
EMP0170,Employee_170,Security,Active,
EMP0171,Employee_171,Finance,Active,
EMP0172,Employee_172,Risk,Active,
EMP0173,Employee_173,Operations,Active,
EMP0174,Employee_174,HR,Active,
EMP0175,Employee_175,Data,Active,
EMP0176,Employee_176,Engineering,Active,
EMP0177,Employee_177,Security,Active,
EMP0178,Employee_178,Finance,Active,
EMP0179,Employee_179,Risk,Active,
EMP0180,Employee_180,Operations,Active,
EMP0181,Employee_181,HR,Active,
