employee_id,issue
EMP0001,AD disabled or HR terminated but AWS/Okta/SaaS accounts remain active
EMP0002,AD disabled or HR terminated but AWS/Okta/SaaS accounts remain active
EMP0003,AD disabled or HR terminated but AWS/Okta/SaaS accounts remain active
EMP0004,AD disabled or HR terminated but AWS/Okta/SaaS accounts remain active
EMP0005,AD disabled or HR terminated but AWS/Okta/SaaS accounts remain active
EMP0006,AD disabled or HR terminated but AWS/Okta/SaaS accounts remain active
EMP0007,AD disabled or HR terminated but AWS/Okta/SaaS accounts remain active
EMP0008,AD disabled or HR terminated but AWS/Okta/SaaS accounts remain active
EMP0009,AD disabled or HR terminated but AWS/Okta/SaaS accounts remain active
EMP0010,AD disabled or HR terminated but AWS/Okta/SaaS accounts remain active
EMP0011,AD disabled or HR terminated but AWS/Okta/SaaS accounts remain active
EMP0012,AD disabled or HR terminated but AWS/Okta/SaaS accounts remain active
EMP0013,AD disabled or HR terminated but AWS/Okta/SaaS accounts remain active
EMP0014,AD disabled or HR terminated but AWS/Okta/SaaS accounts remain active
EMP0015,AD disabled or HR terminated but AWS/Okta/SaaS accounts remain active
EMP0016,AD disabled or HR terminated but AWS/Okta/SaaS accounts remain active
EMP0017,AD disabled or HR terminated but AWS/Okta/SaaS accounts remain active
EMP0018,AD disabled or HR terminated but AWS/Okta/SaaS accounts remain active
EMP0019,AD disabled or HR terminated but AWS/Okta/SaaS accounts remain active
EMP0020,AD disabled or HR terminated but AWS/Okta/SaaS accounts remain active
EMP0021,AD disabled or HR terminated but AWS/Okta/SaaS accounts remain active
EMP0022,AD disabled or HR terminated but AWS/Okta/SaaS accounts remain active
EMP0023,AD disabled or HR terminated but AWS/Okta/SaaS accounts remain active
EMP0024,AD disabled or HR terminated but AWS/Okta/SaaS accounts remain active
EMP0025,AD disabled or HR terminated but AWS/Okta/SaaS accounts remain active
EMP0026,AD disabled or HR terminated but AWS/Okta/SaaS accounts remain active
EMP0027,AD disabled or HR terminated but AWS/Okta/SaaS accounts remain active
EMP0028,AD disabled or HR terminated but AWS/Okta/SaaS accounts remain active
EMP0029,AD disabled or HR terminated but AWS/Okta/SaaS accounts remain active
EMP0030,AD disabled or HR terminated but AWS/Okta/SaaS accounts remain active
EMP0031,AD disabled or HR terminated but AWS/Okta/SaaS accounts remain active
EMP0032,AD disabled or HR terminated but AWS/Okta/SaaS accounts remain active
EMP0033,AD disabled or HR terminated but AWS/Okta/SaaS accounts remain active
EMP0034,AD disabled or HR terminated but AWS/Okta/SaaS accounts remain active
EMP0035,AD disabled or HR terminated but AWS/Okta/SaaS accounts remain active
EMP0036,AD disabled or HR terminated but AWS/Okta/SaaS accounts remain active
EMP0037,AD disabled or HR terminated but AWS/Okta/SaaS accounts remain active
EMP0038,AD disabled or HR terminated but AWS/Okta/SaaS accounts remain active
EMP0039,AD disabled or HR terminated but AWS/Okta/SaaS accounts remain active
EMP0040,AD disabled or HR terminated but AWS/Okta/SaaS accounts remain active
EMP0041,AD disabled or HR terminated but AWS/Okta/SaaS accounts remain active
EMP0042,AD disabled or HR terminated but AWS/Okta/SaaS accounts remain active
EMP0043,AD disabled or HR terminated but AWS/Okta/SaaS accounts remain active
EMP0044,AD disabled or HR terminated but AWS/Okta/SaaS accounts remain active
EMP0045,AD disabled or HR terminated but AWS/Okta/SaaS accounts remain active
EMP0046,AD disabled or HR terminated but AWS/Okta/SaaS accounts remain active
EMP0047,AD disabled or HR terminated but AWS/Okta/SaaS accounts remain active
EMP0048,AD disabled or HR terminated but AWS/Okta/SaaS accounts remain active
EMP0049,AD disabled or HR terminated but AWS/Okta/SaaS accounts remain active
EMP0050,AD disabled or HR terminated but AWS/Okta/SaaS accounts remain active
