employee_id,platform,role
EMP0001,AD,HelpdeskOperator
EMP0001,AWS,ReadOnlyAccess
EMP0001,Okta,AppAdmin
EMP0001,Salesforce,SalesOps
EMP0001,GitHub,Developer
EMP0002,AD,HelpdeskOperator
EMP0002,AWS,Developer
EMP0002,Okta,AppAdmin
EMP0002,Salesforce,SalesOps
EMP0002,GitHub,Reader
EMP0003,AD,HelpdeskOperator
EMP0003,AWS,ReadOnlyAccess
EMP0003,Okta,AppAdmin
EMP0003,Salesforce,StandardUser
EMP0003,GitHub,Reader
EMP0004,AD,HelpdeskOperator
EMP0004,AWS,Developer
EMP0004,Okta,AppAdmin
EMP0004,Salesforce,StandardUser
EMP0004,GitHub,Developer
EMP0005,AD,User
EMP0005,AWS,Developer
EMP0005,Okta,User
EMP0005,Salesforce,StandardUser
EMP0005,GitHub,Developer
EMP0006,AD,HelpdeskOperator
EMP0006,AWS,ReadOnlyAccess
EMP0006,Okta,AppAdmin
EMP0006,Salesforce,StandardUser
EMP0006,GitHub,Reader
EMP0007,AD,HelpdeskOperator
EMP0007,AWS,ReadOnlyAccess
EMP0007,Okta,User
EMP0007,Salesforce,StandardUser
EMP0007,GitHub,Reader
EMP0008,AD,HelpdeskOperator
EMP0008,AWS,ReadOnlyAccess
EMP0008,Okta,AppAdmin
EMP0008,Salesforce,SalesOps
EMP0008,GitHub,Reader
EMP0009,AD,HelpdeskOperator
EMP0009,AWS,ReadOnlyAccess
EMP0009,Okta,User
EMP0009,Salesforce,SalesOps
EMP0009,GitHub,Reader
EMP0010,AD,HelpdeskOperator
EMP0010,AWS,Developer
EMP0010,Okta,User
EMP0010,Salesforce,SalesOps
EMP0010,GitHub,Developer
EMP0011,AD,User
EMP0011,AWS,ReadOnlyAccess
EMP0011,Okta,AppAdmin
EMP0011,Salesforce,SalesOps
EMP0011,GitHub,Developer
EMP0012,AD,HelpdeskOperator
EMP0012,AWS,ReadOnlyAccess
EMP0012,Okta,User
EMP0012,Salesforce,SalesOps
EMP0012,GitHub,Developer
EMP0013,AD,User
EMP0013,AWS,ReadOnlyAccess
